34,11 mai 2020 au 17 mai 2020 (Québec),https://assets.numeris.ca/Downloads/11%20mai%202020%20au%2017%20mai%202020%20(Quebec).pdf,11 mai 2020 au 17 mai 2020 (Quebec).pdf,Semaine 38,26 mai 2020,2020
35,4 mai 2020 au 10 mai 2020 (Québec),https://assets.numeris.ca/Downloads/4%20mai%202020%20au%2010%20mai%202020%20(Quebec).pdf,4 mai 2020 au 10 mai 2020 (Quebec).pdf,Semaine 37,20 mai 2020,2020
36,27 avril 2020 au 3 mai 2020 (Québec),https://assets.numeris.ca/Downloads/27%20avril%202020%20au%203%20mai%202020%20(Quebec).pdf,27 avril 2020 au 3 mai 2020 (Quebec).pdf,Semaine 36,12 mai 2020,2020
37,20 avril 2020 au 26 avril 2020 (Québec),https://assets.numeris.ca/Downloads/20%20avril%202020%20au%2026%20avril%202020%20(Quebec).pdf,20 avril 2020 au 26 avril 2020 (Quebec).pdf,Semaine 35,5 mai 2020,2020
38,13 avril 2020 au 19 avril 2020 (Quebec),https://assets.numeris.ca/Downloads/13%20avril%202020%20au%2019%20avril%202020%20(Quebec).pdf,13 avril 2020 au 19 avril 2020 (Quebec).pdf,Semaine 34,28 avril 2020,2020
39,6 avril 2020 au 12 avril 2020 (Quebec),https://assets.numeris.ca/Downloads/6%20avril%202020%20au%2012%20avril%202020%20(Quebec).pdf,6 avril 2020 au 12 avril 2020 (Quebec).pdf,Semaine 33,21 avril 2020,2020
40,30 mars 2020 au 5 avril 2020 (Quebec),https://assets.numeris.ca/Downloads/30%20mars%202020%20au%205%20avril%202020%20(Quebec).pdf,30 mars 2020 au 5 avril 2020 (Quebec).pdf,Semaine 32,14 avril 2020,2020
41,23 mars 2020 au 29 mars 2020 (Quebec),https://assets.numeris.ca/Downloads/23%20mars%202020%20au%2029%20mars%202020%20(Quebec).pdf,23 mars 2020 au 29 mars 2020 (Quebec).pdf,Semaine 31,7 avril 2020,2020
42,16 mars 2020 au 22 mars 2020 (Quebec),https://assets.numeris.ca/Downloads/16%20mars%202020%20au%2022%20mars%202020%20(Quebec).pdf,16 mars 2020 au 22 mars 2020 (Quebec).pdf,Semaine 30,31 mars 2020,2020
43,9 mars 2020 au 15 mars 2020 (Quebec),https://assets.numeris.ca/Downloads/9%20mars%202020%20au%2015%20mars%202020%20(Quebec).pdf,9 mars 2020 au 15 mars 2020 (Quebec).pdf,Semaine 29,24 mars 2020,2020
44,2 mars 2020 au 8 mars 2020 (Quebec),https://assets.numeris.ca/Downloads/2%20mars%202020%20au%208%20mars%202020%20(Quebec).pdf,2 mars 2020 au 8 mars 2020 (Quebec).pdf,Semaine 28,17 mars 2020,2020
45,24 février 2020 au 01 mars 2020 (Quebec),https://assets.numeris.ca/Downloads/24%20f%C3%A9vrier%202020%20au%2001%20mars%202020%20(Quebec).pdf,24 février 2020 au 01 mars 2020 (Quebec).pdf,Semaine 27,10 mars 2020,2020
46,17 février 2020 au 23 février 2020 (Quebec),https://assets.numeris.ca/Downloads/17%20f%C3%A9vrier%202020%20au%2023%20f%C3%A9vrier%202020%20(Quebec).pdf,17 février 2020 au 23 février 2020 (Quebec).pdf,Semaine 26,3 mars 2020,2020
47,10 février 2020 au 16 février 2020  (Quebec),https://assets.numeris.ca/Downloads/10%20f%C3%A9vrier%202020%20au%2016%20f%C3%A9vrier%202020%20%20(Quebec).pdf,10 février 2020 au 16 février 2020  (Quebec).pdf,Semaine 25,25 février 2020,2020
48,3 février 2020 au 9 février 2020  (Quebec),https://assets.numeris.ca/Downloads/3%20f%C3%A9vrier%202020%20au%209%20f%C3%A9vrier%202020%20%20(Quebec).pdf,3 février 2020 au 9 février 2020  (Quebec).pdf,Semaine 24,19 février 2020,2020
49,27 janvier 2020 au  2 février 2020  (Quebec),https://assets.numeris.ca/Downloads/27%20janvier%202020%20au%20%202%20f%C3%A9vrier%202020%20%20(Quebec).pdf,27 janvier 2020 au  2 février 2020  (Quebec).pdf,Semaine 23,12 février 2020,2020
50,Du 20 janvier 2020 au 26 janvier 2020  (Quebec),https://assets.numeris.ca/Downloads/Du%2020%20janvier%202020%20au%2026%20janvier%202020%20%20(Quebec).pdf,Du 20 janvier 2020 au 26 janvier 2020  (Quebec).pdf,Semaine 22,4 février 2020,2020
51,Du 13 janiver 2020 au 19 janiver 2020 (Quebec),https://assets.numeris.ca/Downloads/Du%2013%20janiver%202020%20au%2019%20janiver%202020%20(Quebec).pdf,Du 13 janiver 2020 au 19 janiver 2020 (Quebec).pdf,Semaine 21,28 janvier 2020,2020
52,janiver 2020 au 12 janiver 2020 (Quebec),https://assets.numeris.ca/Downloads/janiver%202020%20au%2012%20janiver%202020%20(Quebec).pdf,janiver 2020 au 12 janiver 2020 (Quebec).pdf,Semaine 20,21 janvier 2020,2020
53,30 decembre 2019 au 05  janiver 2020  (Quebec),https://assets.numeris.ca/Downloads/30%20decembre%202019%20au%2005%20%20janiver%202020%20%20(Quebec).pdf,30 decembre 2019 au 05  janiver 2020  (Quebec).pdf,Semaine 19,14 janvier 2020,2020
54,23 decembre 2019 au 29 decembre 2019 (Quebec),https://assets.numeris.ca/Downloads/23%20decembre%202019%20au%2029%20decembre%202019%20(Quebec).pdf,23 decembre 2019 au 29 decembre 2019 (Quebec).pdf,Semaine 18,7 janvier 2020,2020
55,16 décembre 2019 au 22 décembre 2019 (Québec),https://assets.numeris.ca/Downloads/16%20decembre%202019%20au%2022%20decembre%202019%20(Quebec).pdf,16 decembre 2019 au 22 decembre 2019 (Quebec).pdf,Semaine 17,31 décembre 2019,2019
56,09 décembre 2019 au 15 décembre 2019 (Quebec),https://assets.numeris.ca/Downloads/09%20decembre%202019%20au%2015%20decembre%202019%20(Quebec).pdf,09 decembre 2019 au 15 decembre 2019 (Quebec).pdf,Semaine 16,24 décembre 2019,2019
57,02 décembre 2019 au 08 décembre 2019 (Quebec),https://assets.numeris.ca/Downloads/02%20decembre%202019%20au%2008%20decembre%202019%20(Quebec).pdf,02 decembre 2019 au 08 decembre 2019 (Quebec).pdf,Semaine 15,17 décembre 2019,2019
58,25 novembre 2019 au 01 décembre 2019 (Quebec),https://assets.numeris.ca/Downloads/25%20novembre%202019%20au%2001%20decembre%202019%20(Quebec).pdf,25 novembre 2019 au 01 decembre 2019 (Quebec).pdf,Semaine 14,10 décembre 2019,2019
59,18 novembre 2019 au 24 novembre 2019 (Quebec),https://assets.numeris.ca/Downloads/18%20novembre%202019%20au%2024%20novembre%202019%20(Quebec).pdf,18 novembre 2019 au 24 novembre 2019 (Quebec).pdf,Semaine 13,3 décembre 2019,2019
60,11 novembre 2019 au 17 novembre 2019 (Quebec),https://assets.numeris.ca/Downloads/11%20novembre%202019%20au%2017%20novembre%202019%20(Quebec).pdf,11 novembre 2019 au 17 novembre 2019 (Quebec).pdf,Semaine 12,26 novembre 2019,2019
